id,focus,signal,slack,drag,confidence,score,lane
l001,claim drift,35,33,6,25,98,hold
l002,replay exposure,35,34,6,55,129,watch
l003,policy width,35,35,6,85,160,watch
l004,trust boundary,35,36,18,25,41,hold
l005,claim drift,35,37,18,55,72,hold
l006,replay exposure,35,38,18,85,103,watch
l007,policy width,35,39,34,25,-36,hold
l008,trust boundary,35,40,34,55,-5,hold
l009,claim drift,35,41,34,85,26,hold
l010,replay exposure,60,42,6,25,157,watch
l011,policy width,60,43,6,55,188,ship
l012,trust boundary,60,44,6,85,219,ship
l013,claim drift,60,45,18,25,100,hold
l014,replay exposure,60,46,18,55,131,watch
l015,policy width,60,47,18,85,162,watch
l016,trust boundary,60,48,34,25,23,hold
l017,claim drift,60,32,34,55,37,hold
l018,replay exposure,60,33,34,85,68,hold
l019,policy width,85,34,6,25,199,ship
l020,trust boundary,85,35,6,55,230,ship
l021,claim drift,85,36,6,85,261,ship
l022,replay exposure,85,37,18,25,142,watch
l023,policy width,85,38,18,55,173,ship
l024,trust boundary,85,39,18,85,204,ship
l025,claim drift,85,40,34,25,65,hold
l026,replay exposure,85,41,34,55,96,hold
l027,policy width,85,42,34,85,127,watch
